date_of_drilling,latitude,longtude,use_of_waterpoint,other_useage,funding_source,wrb1a_form_completed,contract_signed,community_agreement,drilling_contractor,driller_licensed,staff_experienced,drilling_rig_model,compressor_specs,equipment_condition,safety_features_condition,equipment_capability,equipment_capability_specs,ppe_available,drilling_equipment_image,location_selection_methodology,hydrogeological_study_done,geophysical_survey_done,min_distance_50m_from_contamination,distance_from_contamination,location_accessible,location_suitable_for_drilling,distance_from_water_bodies,location_photo,perimeter_fence,staff_protected,parking_area,emergency_access,suitable_distance_from_power_lines,distance,materials_stored_safely,chemicals_stored_safely,first_aid_kit,fire_extinguisher,adquate_welfare_facilities,welfare_facilities_distance,site_setup_preliminaries_completed,rig_setup_properly,reference_point,reference_point_height,rig_level_method,rig_setup_problems,setup_problems,drill_rod_length,min_diameter_177mm,min_diameter,casing_stored_properly,where_stored,why_not_properly_stored,index_1,rod_number,depth_from_1,depth_to_1,circulation_method,drill_bit_type,drilling_diameter_mm,time_taken_in_minutes,drilling_comments,water_strike_in_miters,index_2,depth_from_2,depth_to_2,temp_casing_material,temp_casing_diameter,index_3,depth_from_3,depth_to_3,rock_or_soil_type,colour,weathering,grain_size_description,sorting,additional_description,formation_name,index_4,hole_depth_1,discharge_rate_1,discharge_measurement_method,ec_ms_cm_1,tds_mgl_1,ph_1,temp_celcius_1,comments_1,borehole_depth_miters,water_level,measurement_date,borehole_suitable_further_use,installation_design_available,design_agreed_by_driller, date_casing_installation  ,materials_meet_standards,materials_pre_inspected,Index (8),inner_diameter,outer_diameter,material_1,slot_aperture,end_cap_fitted,centralisers_fitted,casing_connection_type  ,index_9,depth_from_4,depth_to_4,casing_inner_diameter,casing_material,casing_material_strength,slotted,gravel_pack_clean, gravel_pack_quality,index_10,depth_from_5,depth_to_5,gravel_min_grain_size,gravel_max_grain_size,gravel_pack_final_level,static_water_level_pre_dev,index_11,duration,method,index_12,time,lift_depth,discharge_rate,ec_ms_cm_3,tds_mg_l_2,ph_3,temp_c_2,turbidity_ntu,sediment,static_water_level_post_dev,final_borehole_design_summary
10/4/2018,,,Other,Fill nearby tank for use in piped system,The Scottish Government,Yes,Yes,Yes,OG Madzi ,Yes,Yes,PRD 12 tonne,"ELGi, PG 1100S - 300",Yes,Yes,Yes,120m of drilling rods,Yes,https://api.mwater.co/v3/images/b7329095147c497ca199bcb9ec3194a6; https://api.mwater.co/v3/images/26d208a3ed8e4518987f01e735b057cb; https://api.mwater.co/v3/images/01323b19932543f881405981e5f14be0; https://api.mwater.co/v3/images/64ad39770e37486a87dfef8b9a4c562c; https://api.mwater.co/v3/images/0b67351d4c434eebb7b53c28671779ad,Malawi government designated potential sites. Desk study carried out by UoS Hydrogeologists. Geophysical survey conducted by government surveying team.,Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/3de169cdc9d24c0bb9c05b3ebb6e451f,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,~150m,Yes,Yes,Drilling/Rotary Table,1.2,Spirit level on rods,No,,5,Yes,,Yes,Under shade of trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
9/25/2018,-14.9057966,34.8315649,Other,Water supply to infrastructure distributing to Balaka region,The Scottish Government,Yes,Yes,Yes,OG Madzi,Yes,Yes,PRD 12 tonne,"ELGi, PG 1100S - 300",Yes,Yes,Yes,120m of rods ,Yes,https://api.mwater.co/v3/images/765588b65a24479bbfcc14fde2ffd918; https://api.mwater.co/v3/images/fbf50f1e43b04c90b10ae74fc1b2b36b; https://api.mwater.co/v3/images/c83f1d6517fa42e1be36192b6670b092; https://api.mwater.co/v3/images/b6bc9b43b9f94e7988bb412bdd406996; https://api.mwater.co/v3/images/88270b575a16468d9fe271b262cd997c; https://api.mwater.co/v3/images/ebaf5f4897594eb8b43d85a900a3b5e2; https://api.mwater.co/v3/images/0d31be9d11a84bdaaa793926844115fa,"The Malawi Government chose potential locations, desk study from UoS Hydrogeologists and Malawi government geophysical surveying identified suitable location and position of drilling site.",Yes,Yes,Yes,56m ,Yes,Yes,Yes,https://api.mwater.co/v3/images/bd2c21f294214c1f8927456a65200ad4,Yes,Yes,Yes,Yes,Yes,20m ,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.21,Spirit level on rods,No,,5,Yes,355.6mm,No,,No adequate shade at the location. PVC casing was delivered just before casing installation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.37,,,Yes,Yes,Yes,9/28/2018,Yes,Yes,,,,,,Yes,Yes,Solvent Cement,,,,,,,,Yes,Yes,,,,,,14.5,15.72,,,,,,,,,,,,,,15.72,
12/7/2018,-15.8075529,35.2772878,Community,,Scottish Government,No,Yes,Yes,OG Madzi Drilling Company,Yes,Yes,PRD,ELGI PG 6005 - 200,Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/897ca28c2bda40efa2653b51b4fa6922; https://api.mwater.co/v3/images/ba0f3386a2704a1f82d2dd1842c5c082; https://api.mwater.co/v3/images/c66bcc72c33d49d3be39363146a24728; https://api.mwater.co/v3/images/1c54e24b6a2c443ebf2010634139280f; https://api.mwater.co/v3/images/43e2adfbac654f66841f77db92d34329; https://api.mwater.co/v3/images/be6b18111db3416584c324c29396f1cb; https://api.mwater.co/v3/images/7bf5d9afa0214f1193814db054668c01; https://api.mwater.co/v3/images/cf8f6101231543b08b77bd076bf7472f; https://api.mwater.co/v3/images/ba74595462274e4ab993bf23b963ec2b; https://api.mwater.co/v3/images/ec2e2f1e8de04d009f14a4f755ff9988,"Hydrogelogical Desk Study
Needs Assessment
Pumping tests at nearby boreholes
Geophysical Survey",Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/6f125ad67b124305ada664ecf6bd20d6,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.26,Spirit level on rods,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.26,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/2018,-15.7848387,35.2357061,Community,,"Scottish Government
",No,Yes,Yes,OG Madzi Drilling Company,Yes,Yes,PRD,ELGI PG 6005 - 200,Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/7462ad48f9da48b5a9e606565affd2e6; https://api.mwater.co/v3/images/39d841a4f63a46eab6d50f0b987e77b7; https://api.mwater.co/v3/images/266edc03cb5a4008b45cf0fe94a69544; https://api.mwater.co/v3/images/850bc036169947d891d48a365b97390c; https://api.mwater.co/v3/images/873ca691d45f48f79d77e551a1866bc5; https://api.mwater.co/v3/images/3df98fa3eabb4f9b86eacfe9c5edcf40; https://api.mwater.co/v3/images/8489d502dbf241468f98076e3125f969; https://api.mwater.co/v3/images/037f158004eb4d5a9dc88fd5a42479fd,"Hydrogeology Desk Study
Needs Assessment
Inital forensics at nearby wells
Pumping tests at nearby wells
Geophysical survey",Yes,Yes,Yes,,No,Yes,Yes,https://api.mwater.co/v3/images/81b39c16b2384c1799095196de24ac6c,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.3,Spirit level on rods,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2018,-15.784914,35.2380306,Community,,Scottish Government,No,Yes,Yes,"Mushtaq
Of OG Madzi Drillinv",Yes,Yes,PRD,"ELGI pg 6005 200
",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/2bc8f6b840d542d6ae7b2d491f58a014; https://api.mwater.co/v3/images/053dd197e4454fc990f12bb5110e7148; https://api.mwater.co/v3/images/d7c70b6fd59f47d3be308215ef44a446; https://api.mwater.co/v3/images/63f17426255d4a02a20644e87b3c69d4; https://api.mwater.co/v3/images/2537c8047c604667b64bc07885c58cb5; https://api.mwater.co/v3/images/df4fb9290d7b4f688a47530f50793774; https://api.mwater.co/v3/images/b2699c547980433b84ed614d279e725a; https://api.mwater.co/v3/images/92e020623ab6477d8e73bf8031e2befd; https://api.mwater.co/v3/images/3c1ad5622bb048efb2f50c8607f429aa; https://api.mwater.co/v3/images/f78f45e867f645b3935fd1a772ea62b5; https://api.mwater.co/v3/images/d0ac66a5aeba4174898e613c0517e0ae; https://api.mwater.co/v3/images/c2f025a297634c76acb42b957686479e,"Hydrogeological desk study
Nearby pumping tests
Geophysical survey
Needs assessment",Yes,Yes,Yes,Pit latrine /bathroom 52m from drilling location.,Yes,Yes,Yes,https://api.mwater.co/v3/images/9194aa35ad214e5ebe2aa83f6f67bdbe; https://api.mwater.co/v3/images/3a36f91b45234ddd9a975d70bdbeafed,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.25,Spirit level attached to drilling rig,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2018,-15.8094523,35.2426739,Community,,Scottish Government,No,Yes,Yes,OG Madzi Drilling,Yes,Yes,PRD,ELGI PG 6005 - 200,Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/b2428aedd61b45b0b4b3a45b99f86e43; https://api.mwater.co/v3/images/e022066039a9475599cfcc1b044cc440; https://api.mwater.co/v3/images/8af1c7c4c80a4c89b87c06588ad83dd2; https://api.mwater.co/v3/images/2dc77b7103bc4296845691c69f817468; https://api.mwater.co/v3/images/a10096c2dd614a41ad249880339d1ea7; https://api.mwater.co/v3/images/57e86fb47b0547c4a862bf90c511c023; https://api.mwater.co/v3/images/c1ad325ff81f4fd39bf320438a29270e; https://api.mwater.co/v3/images/091317b0ef8648d99ba1f239fea0c077; https://api.mwater.co/v3/images/b79b04cb6a9341c2ba1077686b522b12; https://api.mwater.co/v3/images/9f4d1452a4184b528a26a038110344b6,"Hydrogeological Desk Study
Geophysical Survey
Service level Needs Assessment
Community engagement",Yes,Yes,Yes,52m away,Yes,Yes,Yes,https://api.mwater.co/v3/images/a1fac7b34e28457e90008690ea06b896,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,0.94,Spirit level on rods,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.94,,,Yes,Yes,Yes,12/4/2018,Yes,Yes,,,,,,Yes,Yes,Solvent Cement,,,,,,,,Yes,Yes,,,,,,5.5,8.69,,,,,,,,,,,,,,24,https://api.mwater.co/v3/images/7afa076de0674115b9b0fad350d23edd
12/8/2018,-15.8107532,35.2758663,Community,,Scottish Government,No,Yes,Yes,OG MADZI drilling comopany,Yes,Yes,PRD,"Air, ELGI PG 6005-200",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/a10a7cd60d204673802aa7b479954a6a; https://api.mwater.co/v3/images/3caef4c0385b4101af67d557708ffde8; https://api.mwater.co/v3/images/90670ad065e5479f83dc2ddfa104229f; https://api.mwater.co/v3/images/0437a6cdd4924251a03d98c57a53d6b7; https://api.mwater.co/v3/images/35bcea0d4ba74bf49d751405a2ec352c; https://api.mwater.co/v3/images/6855a7acbdda45e58463e431c0837635; https://api.mwater.co/v3/images/f8fe9eac04d544ba82a135a93f926ee7; https://api.mwater.co/v3/images/2118efdbdfd7476c95da00ed33a12949; https://api.mwater.co/v3/images/79fcab7a46a24e4d96da011627921da2; https://api.mwater.co/v3/images/8f5ffb37559745ee8e2eadcb3378a530; https://api.mwater.co/v3/images/b4aff1cef2b743da8bbd20c490465d81,"Hydrogeological Desk Study
Geophysical Survey
Community engagement
Nearby Pumping tests
Needs assessment",Yes,Yes,Yes,Graveyard 150m away. Pit latrine 63m away.,Yes,Yes,Yes,https://api.mwater.co/v3/images/f8be69816fb84533999a15fe6366645e,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.2,Spirit level on rods,Yes,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,,,Yes,Yes,Yes,12/9/2018,Yes,Yes,,,,,,Yes,Yes,Solvent Cement,,,,,,,,Yes,Yes,,,,,,7,11,,,,,,,,,,,,,,27.5,https://api.mwater.co/v3/images/139af87838b74b74b8e2af58d6e7a3a5; https://api.mwater.co/v3/images/e90ab35215c24e129272aa2d998bef05; https://api.mwater.co/v3/images/2820938fcbe1452d98b97706d9385dc9
12/16/2018,-15.8938831,35.268553,Community,,Scottish Government,,Yes,Yes,OG Madzi Drilling Company,Yes,Yes,PRD,"Air, ELGI PG 6005 - 200",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/203411e1923c488ba1f4469f846b1c0a; https://api.mwater.co/v3/images/80a04cf1fda54914a1e5313ea90c2346; https://api.mwater.co/v3/images/769e73330ac14258ac26544439205e0e; https://api.mwater.co/v3/images/232a47671d014b41891122b2352f7bf9; https://api.mwater.co/v3/images/e79a87e9831c417ba45090018cd5b036; https://api.mwater.co/v3/images/73fd9206d3cc460fa66c330348d5334a; https://api.mwater.co/v3/images/d4a2e506210749f1acdfeb23bd4e7194,"Hydrogeological Desk Study
Nearby pumping tests
Geophysical survey
Community Engagement
Needs assessment",Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/a23a339249094f65a8a9a8dadd172273,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,,Spirit level on rods,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.05,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/2018,-15.8937393,35.269683,Community,,Scottish Government,No,Yes,Yes,OG MADZI Drilling Company,Yes,Yes,PRD,"Air
ELGI PG 6005-200",Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/e1f1ebf92d654138832b6e40db5bb912; https://api.mwater.co/v3/images/0090ad86246e4c7d8ed3f576d8b9ac24; https://api.mwater.co/v3/images/7350539b17314e9199971be9142bc2b5; https://api.mwater.co/v3/images/ebb70ee2ca53464e8d22d2a547a838ff; https://api.mwater.co/v3/images/f587050e11604a2caefc656d245d8367; https://api.mwater.co/v3/images/da8f706a8c644c98ac4fb79cc6d7cdea; https://api.mwater.co/v3/images/7c572d95fa8a4985bcd7786c57f92633; https://api.mwater.co/v3/images/abce0476fd0b4a64a6e430210decafb5; https://api.mwater.co/v3/images/ba7f5c46504742caa2fcdea9303c6315; https://api.mwater.co/v3/images/2e657e04604e4ebf894b842c9bbb2806,"Hydrogeological Desk Study
Nearby pumping Tests
Geophysical Survey
Community engagement 
Needs assessment",Yes,Yes,Yes,,Yes,Yes,Yes,https://api.mwater.co/v3/images/016c06685e214d3bbba5c3b625b7dd90,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.06,Spirit level on rods,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.06,,,Yes,Yes,Yes,12/18/2018,Yes,Yes,,,,,,Yes,Yes,Solvent Cement,,,,,,,,Yes,Yes,,,,,,5.8,5,,,,,,,,,,,,,,40,
12/11/2018,-15.9214965,35.3200628,Community,,Scottish Government,No,Yes,Yes,OG Madzi,Yes,Yes,PRD,Air / ELGI PG 6005 - 200,Yes,Yes,Yes,,Yes,https://api.mwater.co/v3/images/c44ed10221ac45e8be8ce924c233a4eb; https://api.mwater.co/v3/images/8922ec8238d54bdbae1ebfee29e3549e; https://api.mwater.co/v3/images/d6742cfb41694462b613cddb12296c24; https://api.mwater.co/v3/images/2301bd850174459b90b10caab01d86d8; https://api.mwater.co/v3/images/2b6fb4c687cb4d87bdbd87aa782097e1; https://api.mwater.co/v3/images/52479d8b90644887b7072c707bcff017; https://api.mwater.co/v3/images/e0d5a1d589c54d6f8c63cbe27c10da05; https://api.mwater.co/v3/images/d32e6b4c24af41d0af78f83131302c89; https://api.mwater.co/v3/images/183cf81ea9b34a6180234f3e267d0d04; https://api.mwater.co/v3/images/5758abaa98eb4f5e8ee4c179a13d9e1c; https://api.mwater.co/v3/images/bee7795385784d24afcaaea91eb3436a,"Hydrogeological Desk Study
Geophysical Survey
Nearby Pumping Tests
Community Engagement
Needs Assesment
",Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Drilling/Rotary Table,1.06,Spirit level on rods,No,,3,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.06,,,Yes,Yes,Yes,12/13/2018,Yes,Yes,,,,,,Yes,Yes,Solvent Cement,,,,,,,,Yes,Yes,,,,,,6.5,1,,,,,,,,,,,,,,21.9,
